contract_no,claim_seq,document_type,document_type_ar,expected_filename,folder_hint,mandatory,upload_status,uploaded_at,missing_warning,external_ref,source_sheet,source_row,source_file,extraction_method,confidence_level,data_quality_notes
CMH_01-C01,1,فاتورة,فاتورة,CMH_01-CLM-001-INVOICE.pdf,04_PAYMENTS,إجباري,,,اختياري — موجود,CMH_01-CLM-001,سجل المرفقات,4,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,1,تقرير فني,تقرير فني,CMH_01-CLM-001-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,نسبة الاكتمال %,CMH_01-CLM-001,سجل المرفقات,5,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,2,فاتورة,فاتورة,CMH_01-CLM-002-INVOICE.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-002,سجل المرفقات,8,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,2,تقرير فني,تقرير فني,CMH_01-CLM-002-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-002,سجل المرفقات,9,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,3,فاتورة,فاتورة,CMH_01-CLM-003-INVOICE.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-003,سجل المرفقات,12,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,3,تقرير فني,تقرير فني,CMH_01-CLM-003-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-003,سجل المرفقات,13,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,4,فاتورة,فاتورة,CMH_01-CLM-004-INVOICE.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-004,سجل المرفقات,16,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,4,تقرير فني,تقرير فني,CMH_01-CLM-004-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-004,سجل المرفقات,17,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,5,فاتورة,فاتورة,CMH_01-CLM-005-INVOICE.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-005,سجل المرفقات,20,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,5,تقرير فني,تقرير فني,CMH_01-CLM-005-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-005,سجل المرفقات,21,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,6,فاتورة,فاتورة,CMH_01-CLM-006-INVOICE.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-006,سجل المرفقات,24,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,6,تقرير فني,تقرير فني,CMH_01-CLM-006-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-006,سجل المرفقات,25,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,7,فاتورة,فاتورة,CMH_01-CLM-007-INVOICE.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-007,سجل المرفقات,28,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,7,تقرير فني,تقرير فني,CMH_01-CLM-007-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-007,سجل المرفقات,29,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,8,فاتورة,فاتورة,CMH_01-CLM-008-INVOICE.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-008,سجل المرفقات,32,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,8,تقرير فني,تقرير فني,CMH_01-CLM-008-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-008,سجل المرفقات,33,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
