order,file_name,source_seq,run_status,notes,operator_timestamp
00,00_preflight_guard.sql,preflight,pending,Pre-flight prod-ref guard. Run first.,
01,01_001_base_schema.sql,001,pending,foundational base schema,
02,02_002_step0_fixes.sql,002,pending,step 0 fixes + storage buckets,
03,03_003_change_orders_and_hardening.sql,003,pending,change_orders family,
04,04_004_contract_templates_and_progress_models.sql,004,pending,contract templates + boq_progress_model,
05,05_006_convera_users_otp.sql,006,pending,CONVERA_USERS + OTP,
06,06_007_contract_amendments_enhancement.sql,007,pending,amendments enhancement,
07,07_008_invoice_attachment_governance.sql,008,pending,invoice attachment governance,
08a,08a_009_enum_add_only.sql,009,pending,ALTER TYPE ADD VALUE only. Run alone. Then run 08b separately.,
08b,08b_009_status_data_update.sql,009,pending,Guarded UPDATEs. Must run AFTER 08a in a separate Run.,
09,09_010b_user_contracts.sql,010b,pending,user_contracts (m2m),
10,10_011_fix_rls_returned_statuses.sql,011,pending,RLS fix returned statuses,
11,11_012_fix_rls_workflow_roles.sql,012,pending,RLS fix workflow roles,
12,12_013_fix_trigger_security_definer.sql,013,pending,trigger SECURITY DEFINER fix,
13,13_014_db_level_transition_guard.sql,014,pending,DB-level transition guard,
14,14_016_update_contract_types.sql,016,pending,contract_type enum updates,
15,15_017_fix_contracts_rls_user_contracts.sql,017,pending,RLS fix contracts/user_contracts join,
16,16_019_definitive_rls_scope_fix.sql,019,pending,definitive RLS scoping,
17,17_020_fix_internal_role_policies.sql,020,pending,internal-role policy fixes,
18,18_021_sync_auth_bans_and_verify.sql,021,pending,auth bans sync,
19,19_022_fix_profiles_recursion.sql,022,pending,profiles RLS recursion fix,
20,20_023_fix_contract_scoping_leaks.sql,023,pending,plug contract-scoping leaks,
21,21_024_drop_contracts_auth_read_backdoor.sql,024,pending,remove auth-read backdoor on contracts,
22,22_025_contract_scoped_roles.sql,025,pending,introduce user_contract_roles,
23,23_026_rls_contract_scoped_roles.sql,026,pending,RLS for contract-scoped roles,
24,24_027_contract_role_browser_helpers.sql,027,pending,browser helpers for contract roles,
25,25_028_add_last_transition_at.sql,028,pending,last_transition_at column,
26,26_029_contractor_withdraw_action.sql,029,pending,contractor withdraw action,
27,27_030_completion_certificate_and_cancel.sql,030,pending,completion-cert + cancel actions,
28,28_031_atomic_claim_submission.sql,031,pending,predecessor atomic-submission RPC,
29,29_031b_fix_audit_logs_columns.sql,031b,pending,audit_logs column fix,
30,30_033_fix_document_type_enum.sql,033,pending,document_type enum fix,
31,31_034_audit_helper_function.sql,034,pending,audit helper function,
32,32_035_block_submitted_persist.sql,035,pending,block submitted persistence,
33,33_040_flexible_approvers_and_import.sql,040,pending,flexible approvers (newer),
34,34_041_final_approver_role.sql,041,pending,final_approver role (newer),
35,35_042_extend_enums_for_template_v7.sql,042,pending,enum extension (full version),
36,36_043_data_model_hardening_SAFE.sql,043,pending,D2 hardening SAFE variant,
37,37_044_imports_governance.sql,044,pending,imports governance (newer),
38,38_045_contract_role_multi_assignment.sql,045,pending,3-tuple unique invariant,
39,39_046_quality_and_pm_stages.sql,046,pending,quality + project_manager workflow stages,
40,40_047_claim_kind_and_number.sql,047,pending,"claim_kind, claim_number, partial unique",
41,41_048_create_claim_with_items_atomic.sql,048,pending,atomic create RPC,
42,42_049_fix_claim_rpc_item_no_cast.sql,049,pending,RPC item_no cast fix,
43,43_050_fix_claim_rpc_claim_type_cast.sql,050,pending,RPC claim_type cast removal,
44,44_s001_seed_profiles.sql,s001,pending,profiles bootstrap,
45,45_s002_seed_contracts.sql,s002,pending,contracts incl. CMH_01-C01,
46,46_s003_seed_convera_users.sql,s003,pending,official MoMaH users,
47,47_s004_seed_supabase_auth_users.sql,s004,pending,auth.users bootstrap,
48,48_s005_seed_test_users_cmh.sql,s005,pending,IAM-3 aligned test users,
99,99_staging_schema_verification.sql,verification,pending,Run last. Paste row output back to operator.,
